tollgate_id,time,direction,volume
1,2016-10-25 06:00:00,0,20.067565879187544
1,2016-10-25 06:20:00,0,19.416197403451207
1,2016-10-25 06:40:00,0,21.703061857428825
1,2016-10-25 07:00:00,0,37.91111108171277
1,2016-10-25 07:20:00,0,38.1470439415773
1,2016-10-25 07:40:00,0,38.09504408596448
1,2016-10-25 15:00:00,0,46.06148055622601
1,2016-10-25 15:20:00,0,46.06148055622601
1,2016-10-25 15:40:00,0,46.06148055622601
1,2016-10-25 16:00:00,0,45.14209233840002
1,2016-10-25 16:20:00,0,45.14209233840002
1,2016-10-25 16:40:00,0,45.14209233840002
1,2016-10-26 06:00:00,0,15.088565232266951
1,2016-10-26 06:20:00,0,16.716993182536754
1,2016-10-26 06:40:00,0,16.697170840066985
1,2016-10-26 07:00:00,0,37.57389130012806
1,2016-10-26 07:20:00,0,38.07736515766143
1,2016-10-26 07:40:00,0,38.14478167136135
1,2016-10-26 15:00:00,0,35.46917647887254
1,2016-10-26 15:20:00,0,38.41778509718763
1,2016-10-26 15:40:00,0,38.88215794076004
1,2016-10-26 16:00:00,0,45.13860387350913
1,2016-10-26 16:20:00,0,45.461547204886514
1,2016-10-26 16:40:00,0,45.15028641319168
1,2016-10-27 06:00:00,0,17.837190714048894
1,2016-10-27 06:20:00,0,18.96357980183592
1,2016-10-27 06:40:00,0,19.013468307638522
1,2016-10-27 07:00:00,0,34.00157969523475
1,2016-10-27 07:20:00,0,32.38558720216642
1,2016-10-27 07:40:00,0,36.77632454239588
1,2016-10-27 15:00:00,0,31.09937854024984
1,2016-10-27 15:20:00,0,32.42016056836127
1,2016-10-27 15:40:00,0,40.06510648672063
1,2016-10-27 16:00:00,0,44.65933076970275
1,2016-10-27 16:20:00,0,44.65933076970275
1,2016-10-27 16:40:00,0,44.652399328921305
1,2016-10-28 06:00:00,0,13.514666228178507
1,2016-10-28 06:20:00,0,15.241783212613564
1,2016-10-28 06:40:00,0,15.411679079854196
