time_start,volume,direction,tollgate_id,time_window,weekday,weekend,hour,date,volume_anterior,volume_anterior_2,media_volume,desvio_padrao
2016-09-19 00:00:00,13,0,1,"[00:00:00,00:20:00)",1,0,0,2016-09-19,0.0,0.0,13.166666666666666,4.750438576243952
2016-09-19 00:20:00,6,0,1,"[00:20:00,00:40:00)",1,0,0,2016-09-19,13.0,0.0,10.166666666666666,3.8166302763912916
2016-09-19 00:40:00,9,0,1,"[00:40:00,01:00:00)",1,0,0,2016-09-19,6.0,13.0,8.5,2.6645825188948455
2016-09-19 01:00:00,10,0,1,"[01:00:00,01:20:00)",1,0,1,2016-09-19,9.0,6.0,6.166666666666667,2.8577380332470415
2016-09-19 01:20:00,14,0,1,"[01:20:00,01:40:00)",1,0,1,2016-09-19,10.0,9.0,7.5,4.5934736311423405
2016-09-19 01:40:00,10,0,1,"[01:40:00,02:00:00)",1,0,1,2016-09-19,14.0,10.0,7.833333333333333,1.834847859269718
2016-09-19 02:00:00,7,0,1,"[02:00:00,02:20:00)",1,0,2,2016-09-19,10.0,14.0,6.333333333333333,1.632993161855452
2016-09-19 02:20:00,10,0,1,"[02:20:00,02:40:00)",1,0,2,2016-09-19,7.0,10.0,7.0,2.756809750418044
2016-09-19 02:40:00,6,0,1,"[02:40:00,03:00:00)",1,0,2,2016-09-19,10.0,7.0,7.333333333333333,2.7325202042558927
2016-09-19 03:00:00,9,0,1,"[03:00:00,03:20:00)",1,0,3,2016-09-19,6.0,10.0,6.833333333333333,2.0412414523193148
2016-09-19 03:20:00,4,0,1,"[03:20:00,03:40:00)",1,0,3,2016-09-19,9.0,6.0,7.166666666666667,3.125166662222459
2016-09-19 03:40:00,9,0,1,"[03:40:00,04:00:00)",1,0,3,2016-09-19,4.0,9.0,8.333333333333334,2.6583202716502514
2016-09-19 04:00:00,10,0,1,"[04:00:00,04:20:00)",1,0,4,2016-09-19,9.0,4.0,10.333333333333334,5.08592829940284
2016-09-19 04:20:00,13,0,1,"[04:20:00,04:40:00)",1,0,4,2016-09-19,10.0,9.0,13.5,1.378404875209022
2016-09-19 04:40:00,12,0,1,"[04:40:00,05:00:00)",1,0,4,2016-09-19,13.0,10.0,12.333333333333334,3.32665998663324
2016-09-19 05:00:00,2,0,1,"[05:00:00,05:20:00)",1,0,5,2016-09-19,12.0,13.0,7.166666666666667,9.389710680668848
2016-09-19 05:20:00,8,0,1,"[05:20:00,05:40:00)",1,0,5,2016-09-19,2.0,12.0,7.166666666666667,6.047037842337906
2016-09-19 05:40:00,13,0,1,"[05:40:00,06:00:00)",1,0,5,2016-09-19,8.0,2.0,13.833333333333334,12.089940722214758
2016-09-19 06:00:00,8,0,1,"[06:00:00,06:20:00)",1,0,6,2016-09-19,13.0,8.0,16.5,9.137833441248533
2016-09-19 06:20:00,13,0,1,"[06:20:00,06:40:00)",1,0,6,2016-09-19,8.0,13.0,26.333333333333332,21.777664398797832
2016-09-19 06:40:00,32,0,1,"[06:40:00,07:00:00)",1,0,6,2016-09-19,13.0,8.0,34.5,21.398598084921357
2016-09-19 07:00:00,39,0,1,"[07:00:00,07:20:00)",1,0,7,2016-09-19,32.0,13.0,48.0,21.540659228538015
2016-09-19 07:20:00,31,0,1,"[07:20:00,07:40:00)",1,0,7,2016-09-19,39.0,32.0,49.666666666666664,29.91097903223274
2016-09-19 07:40:00,43,0,1,"[07:40:00,08:00:00)",1,0,7,2016-09-19,31.0,39.0,60.833333333333336,39.280614387591584
