time,volume,direction,tollgate_id,time_window,date,week,weekend,hour,day,am_pm,volume_anterior,volume_anterior_2,media_volume_hora_dia,desvio_padrao_hora_dia,min_volume_hora_dia,max_volume_hora_dia,mediana_volume_hora_dia,min_volume_dia_am_pm,max_volume_dia_am_pm,mediana_volume_dia_am_pm,media_volume_dia_am_pm,desvio_padrao_am_pm,media_volume_weekday,min_volume_weekday,max_volume_weekday,desvio_padrao_weekday,mediana_volume_weekday
2016-09-19 00:10:00,11,0,1,"[00:10:00,00:30:00)",2016-09-19,1,0,0,19,1,0.0,0.0,9.333333333333334,3.3862466931200785,4,13,10.0,1,59,13.0,23.47222222222222,17.300958389330873,11.0,11,11,11.0,11.0
2016-09-19 00:30:00,9,0,1,"[00:30:00,00:50:00)",2016-09-19,1,0,0,19,1,11.0,0.0,9.333333333333334,3.3862466931200785,4,13,10.0,1,59,13.0,23.47222222222222,17.300958389330873,9.0,9,9,9.0,9.0
2016-09-19 00:50:00,4,0,1,"[00:50:00,01:10:00)",2016-09-19,1,0,0,19,1,9.0,11.0,9.333333333333334,3.3862466931200785,4,13,10.0,1,59,13.0,23.47222222222222,17.300958389330873,4.0,4,4,4.0,4.0
2016-09-19 01:10:00,17,0,1,"[01:10:00,01:30:00)",2016-09-19,1,0,1,19,1,4.0,9.0,10.833333333333334,3.0605010483034745,9,17,10.0,1,59,13.0,23.47222222222222,17.300958389330873,17.0,17,17,17.0,17.0
2016-09-19 01:30:00,9,0,1,"[01:30:00,01:50:00)",2016-09-19,1,0,1,19,1,17.0,4.0,10.833333333333334,3.0605010483034745,9,17,10.0,1,59,13.0,23.47222222222222,17.300958389330873,9.0,9,9,9.0,9.0
2016-09-19 01:50:00,10,0,1,"[01:50:00,02:10:00)",2016-09-19,1,0,1,19,1,9.0,17.0,10.833333333333334,3.0605010483034745,9,17,10.0,1,59,13.0,23.47222222222222,17.300958389330873,10.0,10,10,10.0,10.0
2016-09-19 02:10:00,10,0,1,"[02:10:00,02:30:00)",2016-09-19,1,0,2,19,1,10.0,9.0,7.0,2.0,5,10,7.0,1,59,13.0,23.47222222222222,17.300958389330873,10.0,10,10,10.0,10.0
2016-09-19 02:30:00,8,0,1,"[02:30:00,02:50:00)",2016-09-19,1,0,2,19,1,10.0,10.0,7.0,2.0,5,10,7.0,1,59,13.0,23.47222222222222,17.300958389330873,8.0,8,8,8.0,8.0
2016-09-19 02:50:00,6,0,1,"[02:50:00,03:10:00)",2016-09-19,1,0,2,19,1,8.0,10.0,7.0,2.0,5,10,7.0,1,59,13.0,23.47222222222222,17.300958389330873,6.0,6,6,6.0,6.0
2016-09-19 03:10:00,7,0,1,"[03:10:00,03:30:00)",2016-09-19,1,0,3,19,1,6.0,8.0,7.166666666666667,1.1690451944500122,6,9,7.0,1,59,13.0,23.47222222222222,17.300958389330873,7.0,7,7,7.0,7.0
2016-09-19 03:30:00,7,0,1,"[03:30:00,03:50:00)",2016-09-19,1,0,3,19,1,7.0,6.0,7.166666666666667,1.1690451944500122,6,9,7.0,1,59,13.0,23.47222222222222,17.300958389330873,7.0,7,7,7.0,7.0
2016-09-19 03:50:00,9,0,1,"[03:50:00,04:10:00)",2016-09-19,1,0,3,19,1,7.0,7.0,7.166666666666667,1.1690451944500122,6,9,7.0,1,59,13.0,23.47222222222222,17.300958389330873,9.0,9,9,9.0,9.0
2016-09-19 04:10:00,11,0,1,"[04:10:00,04:30:00)",2016-09-19,1,0,4,19,1,9.0,7.0,9.333333333333334,2.503331114069145,6,13,9.0,1,59,13.0,23.47222222222222,17.300958389330873,11.0,11,11,11.0,11.0
2016-09-19 04:30:00,13,0,1,"[04:30:00,04:50:00)",2016-09-19,1,0,4,19,1,11.0,9.0,9.333333333333334,2.503331114069145,6,13,9.0,1,59,13.0,23.47222222222222,17.300958389330873,13.0,13,13,13.0,13.0
2016-09-19 04:50:00,8,0,1,"[04:50:00,05:10:00)",2016-09-19,1,0,4,19,1,13.0,11.0,9.333333333333334,2.503331114069145,6,13,9.0,1,59,13.0,23.47222222222222,17.300958389330873,8.0,8,8,8.0,8.0
2016-09-19 05:10:00,1,0,1,"[05:10:00,05:30:00)",2016-09-19,1,0,5,19,1,8.0,13.0,6.666666666666667,4.760952285695233,1,13,6.0,1,59,13.0,23.47222222222222,17.300958389330873,1.0,1,1,1.0,1.0
2016-09-19 05:30:00,13,0,1,"[05:30:00,05:50:00)",2016-09-19,1,0,5,19,1,1.0,8.0,6.666666666666667,4.760952285695233,1,13,6.0,1,59,13.0,23.47222222222222,17.300958389330873,13.0,13,13,13.0,13.0
2016-09-19 05:50:00,11,0,1,"[05:50:00,06:10:00)",2016-09-19,1,0,5,19,1,13.0,1.0,6.666666666666667,4.760952285695233,1,13,6.0,1,59,13.0,23.47222222222222,17.300958389330873,11.0,11,11,11.0,11.0
2016-09-19 06:10:00,10,0,1,"[06:10:00,06:30:00)",2016-09-19,1,0,6,19,1,11.0,13.0,20.0,8.831760866327848,10,32,19.5,1,59,13.0,23.47222222222222,17.300958389330873,10.0,10,10,10.0,10.0
2016-09-19 06:30:00,26,0,1,"[06:30:00,06:50:00)",2016-09-19,1,0,6,19,1,10.0,11.0,20.0,8.831760866327848,10,32,19.5,1,59,13.0,23.47222222222222,17.300958389330873,26.0,26,26,26.0,26.0
2016-09-19 06:50:00,32,0,1,"[06:50:00,07:10:00)",2016-09-19,1,0,6,19,1,26.0,10.0,20.0,8.831760866327848,10,32,19.5,1,59,13.0,23.47222222222222,17.300958389330873,32.0,32,32,32.0,32.0
2016-09-19 07:10:00,35,0,1,"[07:10:00,07:30:00)",2016-09-19,1,0,7,19,1,32.0,26.0,38.333333333333336,7.501111028818776,28,50,37.0,1,59,13.0,23.47222222222222,17.300958389330873,35.0,35,35,35.0,35.0
2016-09-19 07:30:00,36,0,1,"[07:30:00,07:50:00)",2016-09-19,1,0,7,19,1,35.0,32.0,38.333333333333336,7.501111028818776,28,50,37.0,1,59,13.0,23.47222222222222,17.300958389330873,36.0,36,36,36.0,36.0
2016-09-19 07:50:00,43,0,1,"[07:50:00,08:10:00)",2016-09-19,1,0,7,19,1,36.0,35.0,38.333333333333336,7.501111028818776,28,50,37.0,1,59,13.0,23.47222222222222,17.300958389330873,43.0,43,43,43.0,43.0
2016-09-19 08:10:00,57,0,1,"[08:10:00,08:30:00)",2016-09-19,1,0,8,19,1,43.0,36.0,49.0,8.0,42,59,47.0,1,59,13.0,23.47222222222222,17.300958389330873,57.0,57,57,57.0,57.0
2016-09-19 08:30:00,42,0,1,"[08:30:00,08:50:00)",2016-09-19,1,0,8,19,1,57.0,43.0,49.0,8.0,42,59,47.0,1,59,13.0,23.47222222222222,17.300958389330873,42.0,42,42,42.0,42.0
2016-09-19 08:50:00,52,0,1,"[08:50:00,09:10:00)",2016-09-19,1,0,8,19,1,42.0,57.0,49.0,8.0,42,59,47.0,1,59,13.0,23.47222222222222,17.300958389330873,52.0,52,52,52.0,52.0
2016-09-19 09:10:00,43,0,1,"[09:10:00,09:30:00)",2016-09-19,1,0,9,19,1,52.0,42.0,46.166666666666664,4.070217029430577,41,51,46.0,1,59,13.0,23.47222222222222,17.300958389330873,43.0,43,43,43.0,43.0
2016-09-19 09:30:00,51,0,1,"[09:30:00,09:50:00)",2016-09-19,1,0,9,19,1,43.0,52.0,46.166666666666664,4.070217029430577,41,51,46.0,1,59,13.0,23.47222222222222,17.300958389330873,51.0,51,51,51.0,51.0
2016-09-19 09:50:00,41,0,1,"[09:50:00,10:10:00)",2016-09-19,1,0,9,19,1,51.0,43.0,46.166666666666664,4.070217029430577,41,51,46.0,1,59,13.0,23.47222222222222,17.300958389330873,41.0,41,41,41.0,41.0
2016-09-19 10:10:00,44,0,1,"[10:10:00,10:30:00)",2016-09-19,1,0,10,19,1,41.0,51.0,41.833333333333336,5.980523945831724,36,50,40.5,1,59,13.0,23.47222222222222,17.300958389330873,44.0,44,44,44.0,44.0
2016-09-19 10:30:00,47,0,1,"[10:30:00,10:50:00)",2016-09-19,1,0,10,19,1,44.0,41.0,41.833333333333336,5.980523945831724,36,50,40.5,1,59,13.0,23.47222222222222,17.300958389330873,47.0,47,47,47.0,47.0
2016-09-19 10:50:00,37,0,1,"[10:50:00,11:10:00)",2016-09-19,1,0,10,19,1,47.0,44.0,41.833333333333336,5.980523945831724,36,50,40.5,1,59,13.0,23.47222222222222,17.300958389330873,37.0,37,37,37.0,37.0
2016-09-19 11:10:00,37,0,1,"[11:10:00,11:30:00)",2016-09-19,1,0,11,19,1,37.0,47.0,36.0,4.147288270665544,30,41,35.5,1,59,13.0,23.47222222222222,17.300958389330873,37.0,37,37,37.0,37.0
2016-09-19 11:30:00,30,0,1,"[11:30:00,11:50:00)",2016-09-19,1,0,11,19,1,37.0,37.0,36.0,4.147288270665544,30,41,35.5,1,59,13.0,23.47222222222222,17.300958389330873,30.0,30,30,30.0,30.0
2016-09-19 11:50:00,34,0,1,"[11:50:00,12:10:00)",2016-09-19,1,0,11,19,1,30.0,37.0,36.0,4.147288270665544,30,41,35.5,1,59,13.0,23.47222222222222,17.300958389330873,34.0,34,34,34.0,34.0
2016-09-19 12:10:00,49,0,1,"[12:10:00,12:30:00)",2016-09-19,1,0,12,19,0,34.0,30.0,44.5,6.252999280345393,34,52,45.0,0,68,28.5,28.76388888888889,16.62891851992817,49.0,49,49,49.0,49.0
