time_start,volume,direction,tollgate_id,time_window,date,weekday,weekend,hour,minute,day,am_pm
2016-09-19 00:00:00,13,0,1,"[00:00:00,00:20:00)",2016-09-19,1,0,0,0,19,1
2016-09-19 00:20:00,6,0,1,"[00:20:00,00:40:00)",2016-09-19,1,0,0,20,19,1
2016-09-19 00:40:00,9,0,1,"[00:40:00,01:00:00)",2016-09-19,1,0,0,40,19,1
2016-09-19 01:00:00,10,0,1,"[01:00:00,01:20:00)",2016-09-19,1,0,1,0,19,1
2016-09-19 01:20:00,14,0,1,"[01:20:00,01:40:00)",2016-09-19,1,0,1,20,19,1
2016-09-19 01:40:00,10,0,1,"[01:40:00,02:00:00)",2016-09-19,1,0,1,40,19,1
2016-09-19 02:00:00,7,0,1,"[02:00:00,02:20:00)",2016-09-19,1,0,2,0,19,1
2016-09-19 02:20:00,10,0,1,"[02:20:00,02:40:00)",2016-09-19,1,0,2,20,19,1
2016-09-19 02:40:00,6,0,1,"[02:40:00,03:00:00)",2016-09-19,1,0,2,40,19,1
2016-09-19 03:00:00,9,0,1,"[03:00:00,03:20:00)",2016-09-19,1,0,3,0,19,1
2016-09-19 03:20:00,4,0,1,"[03:20:00,03:40:00)",2016-09-19,1,0,3,20,19,1
2016-09-19 03:40:00,9,0,1,"[03:40:00,04:00:00)",2016-09-19,1,0,3,40,19,1
2016-09-19 04:00:00,10,0,1,"[04:00:00,04:20:00)",2016-09-19,1,0,4,0,19,1
2016-09-19 04:20:00,13,0,1,"[04:20:00,04:40:00)",2016-09-19,1,0,4,20,19,1
2016-09-19 04:40:00,12,0,1,"[04:40:00,05:00:00)",2016-09-19,1,0,4,40,19,1
2016-09-19 05:00:00,2,0,1,"[05:00:00,05:20:00)",2016-09-19,1,0,5,0,19,1
2016-09-19 05:20:00,8,0,1,"[05:20:00,05:40:00)",2016-09-19,1,0,5,20,19,1
2016-09-19 05:40:00,13,0,1,"[05:40:00,06:00:00)",2016-09-19,1,0,5,40,19,1
2016-09-19 06:00:00,8,0,1,"[06:00:00,06:20:00)",2016-09-19,1,0,6,0,19,1
2016-09-19 06:20:00,13,0,1,"[06:20:00,06:40:00)",2016-09-19,1,0,6,20,19,1
2016-09-19 06:40:00,32,0,1,"[06:40:00,07:00:00)",2016-09-19,1,0,6,40,19,1
2016-09-19 07:00:00,39,0,1,"[07:00:00,07:20:00)",2016-09-19,1,0,7,0,19,1
2016-09-19 07:20:00,31,0,1,"[07:20:00,07:40:00)",2016-09-19,1,0,7,20,19,1
2016-09-19 07:40:00,43,0,1,"[07:40:00,08:00:00)",2016-09-19,1,0,7,40,19,1
2016-09-19 08:00:00,46,0,1,"[08:00:00,08:20:00)",2016-09-19,1,0,8,0,19,1
2016-09-19 08:20:00,56,0,1,"[08:20:00,08:40:00)",2016-09-19,1,0,8,20,19,1
2016-09-19 08:40:00,41,0,1,"[08:40:00,09:00:00)",2016-09-19,1,0,8,40,19,1
2016-09-19 09:00:00,50,0,1,"[09:00:00,09:20:00)",2016-09-19,1,0,9,0,19,1
2016-09-19 09:20:00,49,0,1,"[09:20:00,09:40:00)",2016-09-19,1,0,9,20,19,1
2016-09-19 09:40:00,44,0,1,"[09:40:00,10:00:00)",2016-09-19,1,0,9,40,19,1
2016-09-19 10:00:00,44,0,1,"[10:00:00,10:20:00)",2016-09-19,1,0,10,0,19,1
2016-09-19 10:20:00,44,0,1,"[10:20:00,10:40:00)",2016-09-19,1,0,10,20,19,1
2016-09-19 10:40:00,44,0,1,"[10:40:00,11:00:00)",2016-09-19,1,0,10,40,19,1
2016-09-19 11:00:00,39,0,1,"[11:00:00,11:20:00)",2016-09-19,1,0,11,0,19,1
2016-09-19 11:20:00,30,0,1,"[11:20:00,11:40:00)",2016-09-19,1,0,11,20,19,1
2016-09-19 11:40:00,34,0,1,"[11:40:00,12:00:00)",2016-09-19,1,0,11,40,19,1
2016-09-19 12:00:00,45,0,1,"[12:00:00,12:20:00)",2016-09-19,1,0,12,0,19,0
2016-09-19 12:20:00,44,0,1,"[12:20:00,12:40:00)",2016-09-19,1,0,12,20,19,0
2016-09-19 12:40:00,53,0,1,"[12:40:00,13:00:00)",2016-09-19,1,0,12,40,19,0
2016-09-19 13:00:00,57,0,1,"[13:00:00,13:20:00)",2016-09-19,1,0,13,0,19,0
2016-09-19 13:20:00,61,0,1,"[13:20:00,13:40:00)",2016-09-19,1,0,13,20,19,0
2016-09-19 13:40:00,53,0,1,"[13:40:00,14:00:00)",2016-09-19,1,0,13,40,19,0
2016-09-19 14:00:00,55,0,1,"[14:00:00,14:20:00)",2016-09-19,1,0,14,0,19,0
2016-09-19 14:20:00,52,0,1,"[14:20:00,14:40:00)",2016-09-19,1,0,14,20,19,0
2016-09-19 14:40:00,52,0,1,"[14:40:00,15:00:00)",2016-09-19,1,0,14,40,19,0
2016-09-19 15:00:00,48,0,1,"[15:00:00,15:20:00)",2016-09-19,1,0,15,0,19,0
2016-09-19 15:20:00,57,0,1,"[15:20:00,15:40:00)",2016-09-19,1,0,15,20,19,0
2016-09-19 15:40:00,43,0,1,"[15:40:00,16:00:00)",2016-09-19,1,0,15,40,19,0
2016-09-19 16:00:00,42,0,1,"[16:00:00,16:20:00)",2016-09-19,1,0,16,0,19,0
2016-09-19 16:20:00,46,0,1,"[16:20:00,16:40:00)",2016-09-19,1,0,16,20,19,0
2016-09-19 16:40:00,55,0,1,"[16:40:00,17:00:00)",2016-09-19,1,0,16,40,19,0
2016-09-19 17:00:00,36,0,1,"[17:00:00,17:20:00)",2016-09-19,1,0,17,0,19,0
2016-09-19 17:20:00,34,0,1,"[17:20:00,17:40:00)",2016-09-19,1,0,17,20,19,0
2016-09-19 17:40:00,24,0,1,"[17:40:00,18:00:00)",2016-09-19,1,0,17,40,19,0
2016-09-19 18:00:00,29,0,1,"[18:00:00,18:20:00)",2016-09-19,1,0,18,0,19,0
2016-09-19 18:20:00,27,0,1,"[18:20:00,18:40:00)",2016-09-19,1,0,18,20,19,0
2016-09-19 18:40:00,18,0,1,"[18:40:00,19:00:00)",2016-09-19,1,0,18,40,19,0
2016-09-19 19:00:00,13,0,1,"[19:00:00,19:20:00)",2016-09-19,1,0,19,0,19,0
2016-09-19 19:20:00,22,0,1,"[19:20:00,19:40:00)",2016-09-19,1,0,19,20,19,0
2016-09-19 19:40:00,27,0,1,"[19:40:00,20:00:00)",2016-09-19,1,0,19,40,19,0
2016-09-19 20:00:00,17,0,1,"[20:00:00,20:20:00)",2016-09-19,1,0,20,0,19,0
2016-09-19 20:20:00,16,0,1,"[20:20:00,20:40:00)",2016-09-19,1,0,20,20,19,0
2016-09-19 20:40:00,17,0,1,"[20:40:00,21:00:00)",2016-09-19,1,0,20,40,19,0
2016-09-19 21:00:00,17,0,1,"[21:00:00,21:20:00)",2016-09-19,1,0,21,0,19,0
2016-09-19 21:20:00,22,0,1,"[21:20:00,21:40:00)",2016-09-19,1,0,21,20,19,0
2016-09-19 21:40:00,5,0,1,"[21:40:00,22:00:00)",2016-09-19,1,0,21,40,19,0
2016-09-19 22:00:00,4,0,1,"[22:00:00,22:20:00)",2016-09-19,1,0,22,0,19,0
2016-09-19 22:20:00,9,0,1,"[22:20:00,22:40:00)",2016-09-19,1,0,22,20,19,0
2016-09-19 22:40:00,3,0,1,"[22:40:00,23:00:00)",2016-09-19,1,0,22,40,19,0
