time_start,volume,direction,tollgate_id,time_window,date,weekday,weekend,hour,day,am_pm,volume_anterior,volume_anterior_2,media_volume,desvio_padrao
2016-09-19 00:05:00,14,0,1,"[00:05:00,00:25:00)",2016-09-19,1,0,0,19,1,0.0,0.0,12.4,3.2093613071762426
2016-09-19 00:25:00,7,0,1,"[00:25:00,00:45:00)",2016-09-19,1,0,0,19,1,14.0,0.0,9.6,2.1908902300206647
2016-09-19 00:45:00,7,0,1,"[00:45:00,01:05:00)",2016-09-19,1,0,0,19,1,7.0,14.0,7.6,2.701851217221259
2016-09-19 01:05:00,14,0,1,"[01:05:00,01:25:00)",2016-09-19,1,0,1,19,1,7.0,7.0,6.4,5.504543577809154
2016-09-19 01:25:00,11,0,1,"[01:25:00,01:45:00)",2016-09-19,1,0,1,19,1,14.0,7.0,7.0,2.23606797749979
2016-09-19 01:45:00,9,0,1,"[01:45:00,02:05:00)",2016-09-19,1,0,1,19,1,11.0,14.0,7.0,1.8708286933869707
2016-09-19 02:05:00,11,0,1,"[02:05:00,02:25:00)",2016-09-19,1,0,2,19,1,9.0,11.0,7.2,2.4899799195977463
2016-09-19 02:25:00,8,0,1,"[02:25:00,02:45:00)",2016-09-19,1,0,2,19,1,11.0,9.0,7.0,2.23606797749979
2016-09-19 02:45:00,5,0,1,"[02:45:00,03:05:00)",2016-09-19,1,0,2,19,1,8.0,11.0,7.6,2.3021728866442674
2016-09-19 03:05:00,9,0,1,"[03:05:00,03:25:00)",2016-09-19,1,0,3,19,1,5.0,8.0,7.2,2.04939015319192
2016-09-19 03:25:00,3,0,1,"[03:25:00,03:45:00)",2016-09-19,1,0,3,19,1,9.0,5.0,6.2,2.8635642126552705
2016-09-19 03:45:00,10,0,1,"[03:45:00,04:05:00)",2016-09-19,1,0,3,19,1,3.0,9.0,8.8,2.1679483388678804
2016-09-19 04:05:00,10,0,1,"[04:05:00,04:25:00)",2016-09-19,1,0,4,19,1,10.0,3.0,9.8,2.949576240750525
2016-09-19 04:25:00,14,0,1,"[04:25:00,04:45:00)",2016-09-19,1,0,4,19,1,10.0,10.0,14.0,2.1213203435596424
2016-09-19 04:45:00,10,0,1,"[04:45:00,05:05:00)",2016-09-19,1,0,4,19,1,14.0,10.0,9.4,2.1908902300206643
2016-09-19 05:05:00,1,0,1,"[05:05:00,05:25:00)",2016-09-19,1,0,5,19,1,10.0,14.0,3.2,2.16794833886788
2016-09-19 05:25:00,11,0,1,"[05:25:00,05:45:00)",2016-09-19,1,0,5,19,1,1.0,10.0,6.0,3.0
2016-09-19 05:45:00,11,0,1,"[05:45:00,06:05:00)",2016-09-19,1,0,5,19,1,11.0,1.0,10.6,0.8944271909999157
2016-09-19 06:05:00,10,0,1,"[06:05:00,06:25:00)",2016-09-19,1,0,6,19,1,11.0,11.0,14.2,2.863564212655271
2016-09-19 06:25:00,18,0,1,"[06:25:00,06:45:00)",2016-09-19,1,0,6,19,1,10.0,11.0,18.6,5.504543577809153
2016-09-19 06:45:00,32,0,1,"[06:45:00,07:05:00)",2016-09-19,1,0,6,19,1,18.0,10.0,31.4,6.308724118235002
2016-09-19 07:05:00,41,0,1,"[07:05:00,07:25:00)",2016-09-19,1,0,7,19,1,32.0,18.0,38.2,3.5637059362410928
2016-09-19 07:25:00,31,0,1,"[07:25:00,07:45:00)",2016-09-19,1,0,7,19,1,41.0,32.0,40.0,7.58287544405155
