time_start,volume,direction,tollgate_id,time_window,date,weekday,weekend,hour,day,am_pm,volume_anterior,volume_anterior_2,media_volume,desvio_padrao
2016-09-19 00:15:00,10,0,1,"[00:15:00,00:35:00)",2016-09-19,1,0,0,19,1,0.0,0.0,10.8,3.1937438845342627
2016-09-19 00:35:00,9,0,1,"[00:35:00,00:55:00)",2016-09-19,1,0,0,19,1,10.0,0.0,9.6,3.361547262794322
2016-09-19 00:55:00,8,0,1,"[00:55:00,01:15:00)",2016-09-19,1,0,0,19,1,9.0,10.0,6.4,2.5099800796022267
2016-09-19 01:15:00,18,0,1,"[01:15:00,01:35:00)",2016-09-19,1,0,1,19,1,8.0,9.0,7.6,6.877499545619759
2016-09-19 01:35:00,5,0,1,"[01:35:00,01:55:00)",2016-09-19,1,0,1,19,1,18.0,8.0,5.2,1.9235384061671346
2016-09-19 01:55:00,10,0,1,"[01:55:00,02:15:00)",2016-09-19,1,0,1,19,1,5.0,18.0,7.4,1.816590212458495
2016-09-19 02:15:00,8,0,1,"[02:15:00,02:35:00)",2016-09-19,1,0,2,19,1,10.0,5.0,7.0,2.23606797749979
2016-09-19 02:35:00,9,0,1,"[02:35:00,02:55:00)",2016-09-19,1,0,2,19,1,8.0,10.0,8.2,2.3874672772626644
2016-09-19 02:55:00,8,0,1,"[02:55:00,03:15:00)",2016-09-19,1,0,2,19,1,9.0,8.0,7.6,1.5165750888103102
2016-09-19 03:15:00,6,0,1,"[03:15:00,03:35:00)",2016-09-19,1,0,3,19,1,8.0,9.0,6.6,1.816590212458495
2016-09-19 03:35:00,7,0,1,"[03:35:00,03:55:00)",2016-09-19,1,0,3,19,1,6.0,8.0,6.4,2.5099800796022267
2016-09-19 03:55:00,9,0,1,"[03:55:00,04:15:00)",2016-09-19,1,0,3,19,1,7.0,6.0,9.4,4.774934554525329
2016-09-19 04:15:00,10,0,1,"[04:15:00,04:35:00)",2016-09-19,1,0,4,19,1,9.0,7.0,12.0,1.5811388300841898
2016-09-19 04:35:00,14,0,1,"[04:35:00,04:55:00)",2016-09-19,1,0,4,19,1,10.0,9.0,14.2,2.6832815729997477
2016-09-19 04:55:00,6,0,1,"[04:55:00,05:15:00)",2016-09-19,1,0,4,19,1,14.0,10.0,5.6,1.6733200530681511
2016-09-19 05:15:00,3,0,1,"[05:15:00,05:35:00)",2016-09-19,1,0,5,19,1,6.0,14.0,3.0,1.4142135623730951
2016-09-19 05:35:00,14,0,1,"[05:35:00,05:55:00)",2016-09-19,1,0,5,19,1,3.0,6.0,8.6,3.2093613071762426
2016-09-19 05:55:00,8,0,1,"[05:55:00,06:15:00)",2016-09-19,1,0,5,19,1,14.0,3.0,11.0,1.8708286933869707
