tollgate_id,time_window,direction,volume,time,date,hour,miniute
1,2016-09-19 00:00:00,0,13,2016-09-19 00:00:00,2016-09-19,0,0
1,2016-09-19 00:20:00,0,6,2016-09-19 00:20:00,2016-09-19,0,20
1,2016-09-19 00:40:00,0,9,2016-09-19 00:40:00,2016-09-19,0,40
1,2016-09-19 01:00:00,0,10,2016-09-19 01:00:00,2016-09-19,1,0
1,2016-09-19 01:20:00,0,14,2016-09-19 01:20:00,2016-09-19,1,20
1,2016-09-19 01:40:00,0,10,2016-09-19 01:40:00,2016-09-19,1,40
1,2016-09-19 02:00:00,0,7,2016-09-19 02:00:00,2016-09-19,2,0
1,2016-09-19 02:20:00,0,10,2016-09-19 02:20:00,2016-09-19,2,20
1,2016-09-19 02:40:00,0,6,2016-09-19 02:40:00,2016-09-19,2,40
1,2016-09-19 03:00:00,0,9,2016-09-19 03:00:00,2016-09-19,3,0
1,2016-09-19 03:20:00,0,4,2016-09-19 03:20:00,2016-09-19,3,20
1,2016-09-19 03:40:00,0,9,2016-09-19 03:40:00,2016-09-19,3,40
1,2016-09-19 04:00:00,0,10,2016-09-19 04:00:00,2016-09-19,4,0
1,2016-09-19 04:20:00,0,13,2016-09-19 04:20:00,2016-09-19,4,20
1,2016-09-19 04:40:00,0,12,2016-09-19 04:40:00,2016-09-19,4,40
1,2016-09-19 05:00:00,0,2,2016-09-19 05:00:00,2016-09-19,5,0
1,2016-09-19 05:20:00,0,8,2016-09-19 05:20:00,2016-09-19,5,20
1,2016-09-19 05:40:00,0,13,2016-09-19 05:40:00,2016-09-19,5,40
1,2016-09-19 06:00:00,0,8,2016-09-19 06:00:00,2016-09-19,6,0
1,2016-09-19 06:20:00,0,13,2016-09-19 06:20:00,2016-09-19,6,20
1,2016-09-19 06:40:00,0,32,2016-09-19 06:40:00,2016-09-19,6,40
1,2016-09-19 07:00:00,0,39,2016-09-19 07:00:00,2016-09-19,7,0
1,2016-09-19 07:20:00,0,31,2016-09-19 07:20:00,2016-09-19,7,20
1,2016-09-19 07:40:00,0,43,2016-09-19 07:40:00,2016-09-19,7,40
1,2016-09-19 08:00:00,0,46,2016-09-19 08:00:00,2016-09-19,8,0
1,2016-09-19 08:20:00,0,56,2016-09-19 08:20:00,2016-09-19,8,20
1,2016-09-19 08:40:00,0,41,2016-09-19 08:40:00,2016-09-19,8,40
1,2016-09-19 09:00:00,0,50,2016-09-19 09:00:00,2016-09-19,9,0
1,2016-09-19 09:20:00,0,49,2016-09-19 09:20:00,2016-09-19,9,20
1,2016-09-19 09:40:00,0,44,2016-09-19 09:40:00,2016-09-19,9,40
1,2016-09-19 10:00:00,0,44,2016-09-19 10:00:00,2016-09-19,10,0
1,2016-09-19 10:20:00,0,44,2016-09-19 10:20:00,2016-09-19,10,20
1,2016-09-19 10:40:00,0,44,2016-09-19 10:40:00,2016-09-19,10,40
1,2016-09-19 11:00:00,0,39,2016-09-19 11:00:00,2016-09-19,11,0
1,2016-09-19 11:20:00,0,30,2016-09-19 11:20:00,2016-09-19,11,20
1,2016-09-19 11:40:00,0,34,2016-09-19 11:40:00,2016-09-19,11,40
1,2016-09-19 12:00:00,0,45,2016-09-19 12:00:00,2016-09-19,12,0
1,2016-09-19 12:20:00,0,44,2016-09-19 12:20:00,2016-09-19,12,20
1,2016-09-19 12:40:00,0,53,2016-09-19 12:40:00,2016-09-19,12,40
1,2016-09-19 13:00:00,0,57,2016-09-19 13:00:00,2016-09-19,13,0
1,2016-09-19 13:20:00,0,61,2016-09-19 13:20:00,2016-09-19,13,20
1,2016-09-19 13:40:00,0,53,2016-09-19 13:40:00,2016-09-19,13,40
1,2016-09-19 14:00:00,0,55,2016-09-19 14:00:00,2016-09-19,14,0
1,2016-09-19 14:20:00,0,52,2016-09-19 14:20:00,2016-09-19,14,20
1,2016-09-19 14:40:00,0,52,2016-09-19 14:40:00,2016-09-19,14,40
1,2016-09-19 15:00:00,0,48,2016-09-19 15:00:00,2016-09-19,15,0
1,2016-09-19 15:20:00,0,57,2016-09-19 15:20:00,2016-09-19,15,20
1,2016-09-19 15:40:00,0,43,2016-09-19 15:40:00,2016-09-19,15,40
1,2016-09-19 16:00:00,0,42,2016-09-19 16:00:00,2016-09-19,16,0
1,2016-09-19 16:20:00,0,46,2016-09-19 16:20:00,2016-09-19,16,20
1,2016-09-19 16:40:00,0,55,2016-09-19 16:40:00,2016-09-19,16,40
1,2016-09-19 17:00:00,0,36,2016-09-19 17:00:00,2016-09-19,17,0
1,2016-09-19 17:20:00,0,34,2016-09-19 17:20:00,2016-09-19,17,20
1,2016-09-19 17:40:00,0,24,2016-09-19 17:40:00,2016-09-19,17,40
1,2016-09-19 18:00:00,0,29,2016-09-19 18:00:00,2016-09-19,18,0
1,2016-09-19 18:20:00,0,27,2016-09-19 18:20:00,2016-09-19,18,20
1,2016-09-19 18:40:00,0,18,2016-09-19 18:40:00,2016-09-19,18,40
1,2016-09-19 19:00:00,0,13,2016-09-19 19:00:00,2016-09-19,19,0
1,2016-09-19 19:20:00,0,22,2016-09-19 19:20:00,2016-09-19,19,20
1,2016-09-19 19:40:00,0,27,2016-09-19 19:40:00,2016-09-19,19,40
1,2016-09-19 20:00:00,0,17,2016-09-19 20:00:00,2016-09-19,20,0
1,2016-09-19 20:20:00,0,16,2016-09-19 20:20:00,2016-09-19,20,20
1,2016-09-19 20:40:00,0,17,2016-09-19 20:40:00,2016-09-19,20,40
