tollgate_id,time_window,direction,volume,time,date,hour,miniute
1,2016-09-19 00:15:00,0,10,2016-09-19 00:15:00,2016-09-19,0,15
1,2016-09-19 00:35:00,0,9,2016-09-19 00:35:00,2016-09-19,0,35
1,2016-09-19 00:55:00,0,8,2016-09-19 00:55:00,2016-09-19,0,55
1,2016-09-19 01:15:00,0,18,2016-09-19 01:15:00,2016-09-19,1,15
1,2016-09-19 01:35:00,0,5,2016-09-19 01:35:00,2016-09-19,1,35
1,2016-09-19 01:55:00,0,10,2016-09-19 01:55:00,2016-09-19,1,55
1,2016-09-19 02:15:00,0,8,2016-09-19 02:15:00,2016-09-19,2,15
1,2016-09-19 02:35:00,0,9,2016-09-19 02:35:00,2016-09-19,2,35
1,2016-09-19 02:55:00,0,8,2016-09-19 02:55:00,2016-09-19,2,55
1,2016-09-19 03:15:00,0,6,2016-09-19 03:15:00,2016-09-19,3,15
1,2016-09-19 03:35:00,0,7,2016-09-19 03:35:00,2016-09-19,3,35
1,2016-09-19 03:55:00,0,9,2016-09-19 03:55:00,2016-09-19,3,55
1,2016-09-19 04:15:00,0,10,2016-09-19 04:15:00,2016-09-19,4,15
1,2016-09-19 04:35:00,0,14,2016-09-19 04:35:00,2016-09-19,4,35
1,2016-09-19 04:55:00,0,6,2016-09-19 04:55:00,2016-09-19,4,55
1,2016-09-19 05:15:00,0,3,2016-09-19 05:15:00,2016-09-19,5,15
1,2016-09-19 05:35:00,0,14,2016-09-19 05:35:00,2016-09-19,5,35
1,2016-09-19 05:55:00,0,8,2016-09-19 05:55:00,2016-09-19,5,55
1,2016-09-19 06:15:00,0,14,2016-09-19 06:15:00,2016-09-19,6,15
1,2016-09-19 06:35:00,0,30,2016-09-19 06:35:00,2016-09-19,6,35
1,2016-09-19 06:55:00,0,32,2016-09-19 06:55:00,2016-09-19,6,55
1,2016-09-19 07:15:00,0,34,2016-09-19 07:15:00,2016-09-19,7,15
1,2016-09-19 07:35:00,0,38,2016-09-19 07:35:00,2016-09-19,7,35
1,2016-09-19 07:55:00,0,48,2016-09-19 07:55:00,2016-09-19,7,55
1,2016-09-19 08:15:00,0,52,2016-09-19 08:15:00,2016-09-19,8,15
1,2016-09-19 08:35:00,0,52,2016-09-19 08:35:00,2016-09-19,8,35
1,2016-09-19 08:55:00,0,43,2016-09-19 08:55:00,2016-09-19,8,55
1,2016-09-19 09:15:00,0,51,2016-09-19 09:15:00,2016-09-19,9,15
1,2016-09-19 09:35:00,0,43,2016-09-19 09:35:00,2016-09-19,9,35
1,2016-09-19 09:55:00,0,42,2016-09-19 09:55:00,2016-09-19,9,55
1,2016-09-19 10:15:00,0,43,2016-09-19 10:15:00,2016-09-19,10,15
1,2016-09-19 10:35:00,0,45,2016-09-19 10:35:00,2016-09-19,10,35
1,2016-09-19 10:55:00,0,40,2016-09-19 10:55:00,2016-09-19,10,55
1,2016-09-19 11:15:00,0,35,2016-09-19 11:15:00,2016-09-19,11,15
1,2016-09-19 11:35:00,0,32,2016-09-19 11:35:00,2016-09-19,11,35
1,2016-09-19 11:55:00,0,38,2016-09-19 11:55:00,2016-09-19,11,55
1,2016-09-19 12:15:00,0,48,2016-09-19 12:15:00,2016-09-19,12,15
1,2016-09-19 12:35:00,0,47,2016-09-19 12:35:00,2016-09-19,12,35
1,2016-09-19 12:55:00,0,58,2016-09-19 12:55:00,2016-09-19,12,55
1,2016-09-19 13:15:00,0,62,2016-09-19 13:15:00,2016-09-19,13,15
1,2016-09-19 13:35:00,0,55,2016-09-19 13:35:00,2016-09-19,13,35
1,2016-09-19 13:55:00,0,59,2016-09-19 13:55:00,2016-09-19,13,55
1,2016-09-19 14:15:00,0,52,2016-09-19 14:15:00,2016-09-19,14,15
1,2016-09-19 14:35:00,0,51,2016-09-19 14:35:00,2016-09-19,14,35
1,2016-09-19 14:55:00,0,51,2016-09-19 14:55:00,2016-09-19,14,55
1,2016-09-19 15:15:00,0,51,2016-09-19 15:15:00,2016-09-19,15,15
1,2016-09-19 15:35:00,0,44,2016-09-19 15:35:00,2016-09-19,15,35
1,2016-09-19 15:55:00,0,41,2016-09-19 15:55:00,2016-09-19,15,55
1,2016-09-19 16:15:00,0,49,2016-09-19 16:15:00,2016-09-19,16,15
1,2016-09-19 16:35:00,0,49,2016-09-19 16:35:00,2016-09-19,16,35
1,2016-09-19 16:55:00,0,43,2016-09-19 16:55:00,2016-09-19,16,55
1,2016-09-19 17:15:00,0,32,2016-09-19 17:15:00,2016-09-19,17,15
