time_start,volume,direction,tollgate_id,time_window,weekday,weekend,date,hour,minute,holiday,am_pm,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-09-19 00:15:00,10,0,1,"[00:15:00,00:35:00)",1,0,2016-09-19,0,15,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:35:00,9,0,1,"[00:35:00,00:55:00)",1,0,2016-09-19,0,35,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:55:00,8,0,1,"[00:55:00,01:15:00)",1,0,2016-09-19,0,55,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:15:00,18,0,1,"[01:15:00,01:35:00)",1,0,2016-09-19,1,15,False,1,,,,,,,
2016-09-19 01:35:00,5,0,1,"[01:35:00,01:55:00)",1,0,2016-09-19,1,35,False,1,,,,,,,
2016-09-19 01:55:00,10,0,1,"[01:55:00,02:15:00)",1,0,2016-09-19,1,55,False,1,,,,,,,
2016-09-19 02:15:00,8,0,1,"[02:15:00,02:35:00)",1,0,2016-09-19,2,15,False,1,,,,,,,
2016-09-19 02:35:00,9,0,1,"[02:35:00,02:55:00)",1,0,2016-09-19,2,35,False,1,,,,,,,
2016-09-19 02:55:00,8,0,1,"[02:55:00,03:15:00)",1,0,2016-09-19,2,55,False,1,,,,,,,
2016-09-19 03:15:00,6,0,1,"[03:15:00,03:35:00)",1,0,2016-09-19,3,15,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:35:00,7,0,1,"[03:35:00,03:55:00)",1,0,2016-09-19,3,35,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:55:00,9,0,1,"[03:55:00,04:15:00)",1,0,2016-09-19,3,55,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 04:15:00,10,0,1,"[04:15:00,04:35:00)",1,0,2016-09-19,4,15,False,1,,,,,,,
2016-09-19 04:35:00,14,0,1,"[04:35:00,04:55:00)",1,0,2016-09-19,4,35,False,1,,,,,,,
2016-09-19 04:55:00,6,0,1,"[04:55:00,05:15:00)",1,0,2016-09-19,4,55,False,1,,,,,,,
2016-09-19 05:15:00,3,0,1,"[05:15:00,05:35:00)",1,0,2016-09-19,5,15,False,1,,,,,,,
2016-09-19 05:35:00,14,0,1,"[05:35:00,05:55:00)",1,0,2016-09-19,5,35,False,1,,,,,,,
2016-09-19 05:55:00,8,0,1,"[05:55:00,06:15:00)",1,0,2016-09-19,5,55,False,1,,,,,,,
2016-09-19 06:15:00,14,0,1,"[06:15:00,06:35:00)",1,0,2016-09-19,6,15,False,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 06:35:00,30,0,1,"[06:35:00,06:55:00)",1,0,2016-09-19,6,35,False,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 06:55:00,32,0,1,"[06:55:00,07:15:00)",1,0,2016-09-19,6,55,False,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 07:15:00,34,0,1,"[07:15:00,07:35:00)",1,0,2016-09-19,7,15,False,1,,,,,,,
2016-09-19 07:35:00,38,0,1,"[07:35:00,07:55:00)",1,0,2016-09-19,7,35,False,1,,,,,,,
2016-09-19 07:55:00,48,0,1,"[07:55:00,08:15:00)",1,0,2016-09-19,7,55,False,1,,,,,,,
2016-09-19 08:15:00,52,0,1,"[08:15:00,08:35:00)",1,0,2016-09-19,8,15,False,1,,,,,,,
2016-09-19 08:35:00,52,0,1,"[08:35:00,08:55:00)",1,0,2016-09-19,8,35,False,1,,,,,,,
2016-09-19 08:55:00,43,0,1,"[08:55:00,09:15:00)",1,0,2016-09-19,8,55,False,1,,,,,,,
2016-09-19 09:15:00,51,0,1,"[09:15:00,09:35:00)",1,0,2016-09-19,9,15,False,1,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
2016-09-19 09:35:00,43,0,1,"[09:35:00,09:55:00)",1,0,2016-09-19,9,35,False,1,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
