time_start,volume,direction,tollgate_id,time_window,weekday,weekend,date,hour,minute,holiday,am_pm,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-09-19 00:00:00,13,0,1,"[00:00:00,00:20:00)",1,0,2016-09-19,0,0,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:20:00,6,0,1,"[00:20:00,00:40:00)",1,0,2016-09-19,0,20,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:40:00,9,0,1,"[00:40:00,01:00:00)",1,0,2016-09-19,0,40,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:00:00,10,0,1,"[01:00:00,01:20:00)",1,0,2016-09-19,1,0,False,1,,,,,,,
2016-09-19 01:20:00,14,0,1,"[01:20:00,01:40:00)",1,0,2016-09-19,1,20,False,1,,,,,,,
2016-09-19 01:40:00,10,0,1,"[01:40:00,02:00:00)",1,0,2016-09-19,1,40,False,1,,,,,,,
2016-09-19 02:00:00,7,0,1,"[02:00:00,02:20:00)",1,0,2016-09-19,2,0,False,1,,,,,,,
2016-09-19 02:20:00,10,0,1,"[02:20:00,02:40:00)",1,0,2016-09-19,2,20,False,1,,,,,,,
2016-09-19 02:40:00,6,0,1,"[02:40:00,03:00:00)",1,0,2016-09-19,2,40,False,1,,,,,,,
2016-09-19 03:00:00,9,0,1,"[03:00:00,03:20:00)",1,0,2016-09-19,3,0,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:20:00,4,0,1,"[03:20:00,03:40:00)",1,0,2016-09-19,3,20,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:40:00,9,0,1,"[03:40:00,04:00:00)",1,0,2016-09-19,3,40,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 04:00:00,10,0,1,"[04:00:00,04:20:00)",1,0,2016-09-19,4,0,False,1,,,,,,,
2016-09-19 04:20:00,13,0,1,"[04:20:00,04:40:00)",1,0,2016-09-19,4,20,False,1,,,,,,,
2016-09-19 04:40:00,12,0,1,"[04:40:00,05:00:00)",1,0,2016-09-19,4,40,False,1,,,,,,,
2016-09-19 05:00:00,2,0,1,"[05:00:00,05:20:00)",1,0,2016-09-19,5,0,False,1,,,,,,,
2016-09-19 05:20:00,8,0,1,"[05:20:00,05:40:00)",1,0,2016-09-19,5,20,False,1,,,,,,,
2016-09-19 05:40:00,13,0,1,"[05:40:00,06:00:00)",1,0,2016-09-19,5,40,False,1,,,,,,,
2016-09-19 06:00:00,8,0,1,"[06:00:00,06:20:00)",1,0,2016-09-19,6,0,False,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 06:20:00,13,0,1,"[06:20:00,06:40:00)",1,0,2016-09-19,6,20,False,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
