time_start,volume,direction,tollgate_id,time_window,weekday,weekend,date,hour,minute,holiday,am_pm,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-09-19 00:05:00,14,0,1,"[00:05:00,00:25:00)",1,0,2016-09-19,0,5,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:25:00,7,0,1,"[00:25:00,00:45:00)",1,0,2016-09-19,0,25,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:45:00,7,0,1,"[00:45:00,01:05:00)",1,0,2016-09-19,0,45,False,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:05:00,14,0,1,"[01:05:00,01:25:00)",1,0,2016-09-19,1,5,False,1,,,,,,,
2016-09-19 01:25:00,11,0,1,"[01:25:00,01:45:00)",1,0,2016-09-19,1,25,False,1,,,,,,,
2016-09-19 01:45:00,9,0,1,"[01:45:00,02:05:00)",1,0,2016-09-19,1,45,False,1,,,,,,,
2016-09-19 02:05:00,11,0,1,"[02:05:00,02:25:00)",1,0,2016-09-19,2,5,False,1,,,,,,,
2016-09-19 02:25:00,8,0,1,"[02:25:00,02:45:00)",1,0,2016-09-19,2,25,False,1,,,,,,,
2016-09-19 02:45:00,5,0,1,"[02:45:00,03:05:00)",1,0,2016-09-19,2,45,False,1,,,,,,,
2016-09-19 03:05:00,9,0,1,"[03:05:00,03:25:00)",1,0,2016-09-19,3,5,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:25:00,3,0,1,"[03:25:00,03:45:00)",1,0,2016-09-19,3,25,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:45:00,10,0,1,"[03:45:00,04:05:00)",1,0,2016-09-19,3,45,False,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 04:05:00,10,0,1,"[04:05:00,04:25:00)",1,0,2016-09-19,4,5,False,1,,,,,,,
2016-09-19 04:25:00,14,0,1,"[04:25:00,04:45:00)",1,0,2016-09-19,4,25,False,1,,,,,,,
2016-09-19 04:45:00,10,0,1,"[04:45:00,05:05:00)",1,0,2016-09-19,4,45,False,1,,,,,,,
2016-09-19 05:05:00,1,0,1,"[05:05:00,05:25:00)",1,0,2016-09-19,5,5,False,1,,,,,,,
