time,tollgate_id,direction,time_window,date,hour,volume,weekday
2016-09-19 00:00:00,1,0,"[00:00:00,00:20:00)",2016-09-19,0,13,1
2016-09-19 00:00:00,1,1,"[00:00:00,00:20:00)",2016-09-19,0,140,1
2016-09-19 00:00:00,2,0,"[00:00:00,00:20:00)",2016-09-19,0,2,1
2016-09-19 00:00:00,3,0,"[00:00:00,00:20:00)",2016-09-19,0,17,1
2016-09-19 00:00:00,3,1,"[00:00:00,00:20:00)",2016-09-19,0,181,1
2016-09-19 00:20:00,1,0,"[00:20:00,00:40:00)",2016-09-19,0,6,1
2016-09-19 00:20:00,1,1,"[00:20:00,00:40:00)",2016-09-19,0,56,1
2016-09-19 00:20:00,3,0,"[00:20:00,00:40:00)",2016-09-19,0,16,1
2016-09-19 00:20:00,3,1,"[00:20:00,00:40:00)",2016-09-19,0,112,1
2016-09-19 00:40:00,1,0,"[00:40:00,01:00:00)",2016-09-19,0,9,1
2016-09-19 00:40:00,1,1,"[00:40:00,01:00:00)",2016-09-19,0,31,1
2016-09-19 00:40:00,3,0,"[00:40:00,01:00:00)",2016-09-19,0,16,1
2016-09-19 00:40:00,3,1,"[00:40:00,01:00:00)",2016-09-19,0,93,1
2016-09-19 01:00:00,1,0,"[01:00:00,01:20:00)",2016-09-19,1,10,1
2016-09-19 01:00:00,1,1,"[01:00:00,01:20:00)",2016-09-19,1,4,1
2016-09-19 01:00:00,2,0,"[01:00:00,01:20:00)",2016-09-19,1,1,1
2016-09-19 01:00:00,3,0,"[01:00:00,01:20:00)",2016-09-19,1,17,1
2016-09-19 01:00:00,3,1,"[01:00:00,01:20:00)",2016-09-19,1,4,1
2016-09-19 01:20:00,1,0,"[01:20:00,01:40:00)",2016-09-19,1,14,1
2016-09-19 01:20:00,1,1,"[01:20:00,01:40:00)",2016-09-19,1,14,1
2016-09-19 01:20:00,3,0,"[01:20:00,01:40:00)",2016-09-19,1,17,1
2016-09-19 01:20:00,3,1,"[01:20:00,01:40:00)",2016-09-19,1,5,1
2016-09-19 01:40:00,1,0,"[01:40:00,02:00:00)",2016-09-19,1,10,1
2016-09-19 01:40:00,1,1,"[01:40:00,02:00:00)",2016-09-19,1,7,1
2016-09-19 01:40:00,2,0,"[01:40:00,02:00:00)",2016-09-19,1,2,1
2016-09-19 01:40:00,3,0,"[01:40:00,02:00:00)",2016-09-19,1,11,1
2016-09-19 01:40:00,3,1,"[01:40:00,02:00:00)",2016-09-19,1,4,1
2016-09-19 02:00:00,1,0,"[02:00:00,02:20:00)",2016-09-19,2,7,1
2016-09-19 02:00:00,1,1,"[02:00:00,02:20:00)",2016-09-19,2,7,1
2016-09-19 02:00:00,3,0,"[02:00:00,02:20:00)",2016-09-19,2,11,1
2016-09-19 02:00:00,3,1,"[02:00:00,02:20:00)",2016-09-19,2,5,1
2016-09-19 02:20:00,1,0,"[02:20:00,02:40:00)",2016-09-19,2,10,1
2016-09-19 02:20:00,1,1,"[02:20:00,02:40:00)",2016-09-19,2,7,1
2016-09-19 02:20:00,3,0,"[02:20:00,02:40:00)",2016-09-19,2,14,1
2016-09-19 02:20:00,3,1,"[02:20:00,02:40:00)",2016-09-19,2,4,1
2016-09-19 02:40:00,1,0,"[02:40:00,03:00:00)",2016-09-19,2,6,1
2016-09-19 02:40:00,1,1,"[02:40:00,03:00:00)",2016-09-19,2,10,1
2016-09-19 02:40:00,3,0,"[02:40:00,03:00:00)",2016-09-19,2,18,1
2016-09-19 03:00:00,1,0,"[03:00:00,03:20:00)",2016-09-19,3,9,1
2016-09-19 03:00:00,1,1,"[03:00:00,03:20:00)",2016-09-19,3,10,1
2016-09-19 03:00:00,3,0,"[03:00:00,03:20:00)",2016-09-19,3,10,1
2016-09-19 03:00:00,3,1,"[03:00:00,03:20:00)",2016-09-19,3,5,1
2016-09-19 03:20:00,1,0,"[03:20:00,03:40:00)",2016-09-19,3,4,1
2016-09-19 03:20:00,1,1,"[03:20:00,03:40:00)",2016-09-19,3,14,1
2016-09-19 03:20:00,3,0,"[03:20:00,03:40:00)",2016-09-19,3,10,1
2016-09-19 03:20:00,3,1,"[03:20:00,03:40:00)",2016-09-19,3,3,1
2016-09-19 03:40:00,1,0,"[03:40:00,04:00:00)",2016-09-19,3,9,1
2016-09-19 03:40:00,1,1,"[03:40:00,04:00:00)",2016-09-19,3,20,1
2016-09-19 03:40:00,3,0,"[03:40:00,04:00:00)",2016-09-19,3,9,1
2016-09-19 03:40:00,3,1,"[03:40:00,04:00:00)",2016-09-19,3,10,1
2016-09-19 04:00:00,1,0,"[04:00:00,04:20:00)",2016-09-19,4,10,1
2016-09-19 04:00:00,1,1,"[04:00:00,04:20:00)",2016-09-19,4,18,1
2016-09-19 04:00:00,3,0,"[04:00:00,04:20:00)",2016-09-19,4,11,1
2016-09-19 04:00:00,3,1,"[04:00:00,04:20:00)",2016-09-19,4,4,1
2016-09-19 04:20:00,1,0,"[04:20:00,04:40:00)",2016-09-19,4,13,1
2016-09-19 04:20:00,1,1,"[04:20:00,04:40:00)",2016-09-19,4,17,1
2016-09-19 04:20:00,3,0,"[04:20:00,04:40:00)",2016-09-19,4,8,1
2016-09-19 04:20:00,3,1,"[04:20:00,04:40:00)",2016-09-19,4,7,1
2016-09-19 04:40:00,1,0,"[04:40:00,05:00:00)",2016-09-19,4,12,1
2016-09-19 04:40:00,1,1,"[04:40:00,05:00:00)",2016-09-19,4,23,1
2016-09-19 04:40:00,3,0,"[04:40:00,05:00:00)",2016-09-19,4,10,1
2016-09-19 04:40:00,3,1,"[04:40:00,05:00:00)",2016-09-19,4,3,1
2016-09-19 05:00:00,1,0,"[05:00:00,05:20:00)",2016-09-19,5,2,1
2016-09-19 05:00:00,1,1,"[05:00:00,05:20:00)",2016-09-19,5,28,1
2016-09-19 05:00:00,2,0,"[05:00:00,05:20:00)",2016-09-19,5,14,1
2016-09-19 05:00:00,3,0,"[05:00:00,05:20:00)",2016-09-19,5,9,1
2016-09-19 05:00:00,3,1,"[05:00:00,05:20:00)",2016-09-19,5,11,1
2016-09-19 05:20:00,1,0,"[05:20:00,05:40:00)",2016-09-19,5,8,1
2016-09-19 05:20:00,1,1,"[05:20:00,05:40:00)",2016-09-19,5,24,1
2016-09-19 05:20:00,2,0,"[05:20:00,05:40:00)",2016-09-19,5,12,1
2016-09-19 05:20:00,3,0,"[05:20:00,05:40:00)",2016-09-19,5,14,1
2016-09-19 05:20:00,3,1,"[05:20:00,05:40:00)",2016-09-19,5,7,1
2016-09-19 05:40:00,1,0,"[05:40:00,06:00:00)",2016-09-19,5,13,1
2016-09-19 05:40:00,1,1,"[05:40:00,06:00:00)",2016-09-19,5,34,1
2016-09-19 05:40:00,2,0,"[05:40:00,06:00:00)",2016-09-19,5,21,1
2016-09-19 05:40:00,3,0,"[05:40:00,06:00:00)",2016-09-19,5,27,1
