time,tollgate_id,direction,time_window,date,hour,holiday,volume,weekday,volume_anterior,volume_anterior_2,media_weekday,desvio_weekady,media_dia_hora,desvio_dia_hora
2016-10-18 06:00:00,1,0,"[06:00:00,06:20:00)",2016-10-18,6,False,13,2,0.0,0.0,11.285714285714286,3.9036002917941333,17.0,4.0
2016-10-18 06:00:00,1,1,"[06:00:00,06:20:00)",2016-10-18,6,False,37,2,0.0,0.0,36.0,8.205689083394114,52.0,18.027756377319946
2016-10-18 06:00:00,2,0,"[06:00:00,06:20:00)",2016-10-18,6,False,24,2,0.0,0.0,20.571428571428573,6.6296591882525115,35.333333333333336,11.015141094572202
2016-10-18 06:00:00,3,0,"[06:00:00,06:20:00)",2016-10-18,6,False,30,2,0.0,0.0,28.428571428571427,8.223080178318074,52.333333333333336,28.919428302325297
2016-10-18 06:00:00,3,1,"[06:00:00,06:20:00)",2016-10-18,6,False,23,2,0.0,0.0,18.857142857142858,4.980915960897534,34.0,14.177446878757825
2016-10-18 06:20:00,1,0,"[06:20:00,06:40:00)",2016-10-18,6,False,17,2,13.0,0.0,14.428571428571429,4.429339411136566,17.0,4.0
2016-10-18 06:20:00,1,1,"[06:20:00,06:40:00)",2016-10-18,6,False,47,2,37.0,0.0,40.57142857142857,11.296860077873305,52.0,18.027756377319946
2016-10-18 06:20:00,2,0,"[06:20:00,06:40:00)",2016-10-18,6,False,36,2,24.0,0.0,28.571428571428573,11.816050423853463,35.333333333333336,11.015141094572202
2016-10-18 06:20:00,3,0,"[06:20:00,06:40:00)",2016-10-18,6,False,42,2,30.0,0.0,44.42857142857143,9.58918041087876,52.333333333333336,28.919428302325297
2016-10-18 06:20:00,3,1,"[06:20:00,06:40:00)",2016-10-18,6,False,29,2,23.0,0.0,30.0,11.313708498984761,34.0,14.177446878757825
2016-10-18 06:40:00,1,0,"[06:40:00,07:00:00)",2016-10-18,6,False,21,2,17.0,13.0,19.428571428571427,5.50324579550235,17.0,4.0
2016-10-18 06:40:00,1,1,"[06:40:00,07:00:00)",2016-10-18,6,False,72,2,47.0,37.0,55.142857142857146,11.509830167130637,52.0,18.027756377319946
2016-10-18 06:40:00,2,0,"[06:40:00,07:00:00)",2016-10-18,6,False,46,2,36.0,24.0,42.0,8.563488385776752,35.333333333333336,11.015141094572202
2016-10-18 06:40:00,3,0,"[06:40:00,07:00:00)",2016-10-18,6,False,85,2,42.0,30.0,71.14285714285714,20.73988565886652,52.333333333333336,28.919428302325297
2016-10-18 06:40:00,3,1,"[06:40:00,07:00:00)",2016-10-18,6,False,50,2,29.0,23.0,41.42857142857143,11.414276774536104,34.0,14.177446878757825
2016-10-18 07:00:00,1,0,"[07:00:00,07:20:00)",2016-10-18,7,False,31,2,21.0,17.0,24.714285714285715,8.035634920242991,35.333333333333336,10.214368964029708
2016-10-18 07:00:00,1,1,"[07:00:00,07:20:00)",2016-10-18,7,False,68,2,72.0,47.0,63.0,11.532562594670797,89.0,19.0
2016-10-18 07:00:00,2,0,"[07:00:00,07:20:00)",2016-10-18,7,False,83,2,46.0,36.0,67.0,30.0,89.0,7.211102550927978
2016-10-18 07:00:00,3,0,"[07:00:00,07:20:00)",2016-10-18,7,False,114,2,85.0,42.0,105.71428571428571,32.29403601138702,136.33333333333334,25.423086620891123
2016-10-18 07:00:00,3,1,"[07:00:00,07:20:00)",2016-10-18,7,False,56,2,50.0,29.0,51.285714285714285,13.060299712159312,74.66666666666667,17.61628034896508
