time,tollgate_id,direction,time_window,date,hour,volume,weekday,volume_anterior,media_volume,desvio_padrao
2016-09-19 00:00:00,1,0,"[00:00:00,00:20:00)",2016-09-19,0,13,1,0.0,14.0,4.795831523312719
2016-09-19 00:00:00,1,1,"[00:00:00,00:20:00)",2016-09-19,0,140,1,0.0,102.0,45.91296113299599
2016-09-19 00:00:00,2,0,"[00:00:00,00:20:00)",2016-09-19,0,2,1,0.0,2.3333333333333335,0.5773502691896257
2016-09-19 00:00:00,3,0,"[00:00:00,00:20:00)",2016-09-19,0,17,1,0.0,17.6,2.60768096208106
2016-09-19 00:00:00,3,1,"[00:00:00,00:20:00)",2016-09-19,0,181,1,0.0,127.6,58.73499808461732
2016-09-19 00:20:00,1,0,"[00:20:00,00:40:00)",2016-09-19,0,6,1,13.0,10.2,4.266145801540309
2016-09-19 00:20:00,1,1,"[00:20:00,00:40:00)",2016-09-19,0,56,1,140.0,48.6,16.56200470957547
2016-09-19 00:20:00,3,0,"[00:20:00,00:40:00)",2016-09-19,0,16,1,17.0,17.2,3.8340579025361627
2016-09-19 00:20:00,3,1,"[00:20:00,00:40:00)",2016-09-19,0,112,1,181.0,81.6,36.34969050762331
2016-09-19 00:40:00,1,0,"[00:40:00,01:00:00)",2016-09-19,0,9,1,6.0,9.4,1.6733200530681511
2016-09-19 00:40:00,1,1,"[00:40:00,01:00:00)",2016-09-19,0,31,1,56.0,31.8,10.986355173577815
2016-09-19 00:40:00,3,0,"[00:40:00,01:00:00)",2016-09-19,0,16,1,16.0,15.8,2.863564212655271
2016-09-19 00:40:00,3,1,"[00:40:00,01:00:00)",2016-09-19,0,93,1,112.0,69.4,27.978563222581677
2016-09-19 01:00:00,1,0,"[01:00:00,01:20:00)",2016-09-19,1,10,1,9.0,6.6,2.9664793948382653
2016-09-19 01:00:00,1,1,"[01:00:00,01:20:00)",2016-09-19,1,4,1,31.0,4.0,1.7320508075688772
2016-09-19 01:00:00,2,0,"[01:00:00,01:20:00)",2016-09-19,1,1,1,2.0,1.5,0.7071067811865476
2016-09-19 01:00:00,3,0,"[01:00:00,01:20:00)",2016-09-19,1,17,1,16.0,20.4,2.4083189157584592
2016-09-19 01:00:00,3,1,"[01:00:00,01:20:00)",2016-09-19,1,4,1,93.0,7.2,2.588435821108957
2016-09-19 01:20:00,1,0,"[01:20:00,01:40:00)",2016-09-19,1,14,1,10.0,8.0,4.949747468305833
2016-09-19 01:20:00,1,1,"[01:20:00,01:40:00)",2016-09-19,1,14,1,4.0,7.8,5.263078946776307
2016-09-19 01:20:00,3,0,"[01:20:00,01:40:00)",2016-09-19,1,17,1,17.0,19.2,5.118593556827891
2016-09-19 01:20:00,3,1,"[01:20:00,01:40:00)",2016-09-19,1,5,1,4.0,6.8,3.9623225512317903
2016-09-19 01:40:00,1,0,"[01:40:00,02:00:00)",2016-09-19,1,10,1,14.0,7.6,1.9493588689617927
2016-09-19 01:40:00,1,1,"[01:40:00,02:00:00)",2016-09-19,1,7,1,14.0,6.0,3.3166247903554
2016-09-19 01:40:00,2,0,"[01:40:00,02:00:00)",2016-09-19,1,2,1,1.0,1.5,0.7071067811865476
2016-09-19 01:40:00,3,0,"[01:40:00,02:00:00)",2016-09-19,1,11,1,17.0,12.4,2.5099800796022267
2016-09-19 01:40:00,3,1,"[01:40:00,02:00:00)",2016-09-19,1,4,1,5.0,4.6,3.1304951684997055
2016-09-19 02:00:00,1,0,"[02:00:00,02:20:00)",2016-09-19,2,7,1,10.0,6.6,1.6733200530681511
2016-09-19 02:00:00,1,1,"[02:00:00,02:20:00)",2016-09-19,2,7,1,7.0,6.0,1.5811388300841898
2016-09-19 02:00:00,3,0,"[02:00:00,02:20:00)",2016-09-19,2,11,1,11.0,11.0,1.4142135623730951
2016-09-19 02:00:00,3,1,"[02:00:00,02:20:00)",2016-09-19,2,5,1,4.0,4.8,2.6832815729997477
2016-09-19 02:20:00,1,0,"[02:20:00,02:40:00)",2016-09-19,2,10,1,7.0,7.8,2.16794833886788
2016-09-19 02:20:00,1,1,"[02:20:00,02:40:00)",2016-09-19,2,7,1,7.0,6.2,2.16794833886788
2016-09-19 02:20:00,3,0,"[02:20:00,02:40:00)",2016-09-19,2,14,1,11.0,12.2,1.7888543819998317
2016-09-19 02:20:00,3,1,"[02:20:00,02:40:00)",2016-09-19,2,4,1,5.0,3.6,0.5477225575051662
2016-09-19 02:40:00,1,0,"[02:40:00,03:00:00)",2016-09-19,2,6,1,10.0,7.0,2.9154759474226504
2016-09-19 02:40:00,1,1,"[02:40:00,03:00:00)",2016-09-19,2,10,1,7.0,6.2,3.3466401061363023
2016-09-19 02:40:00,3,0,"[02:40:00,03:00:00)",2016-09-19,2,18,1,14.0,15.8,4.147288270665544
2016-09-19 03:00:00,1,0,"[03:00:00,03:20:00)",2016-09-19,3,9,1,6.0,7.2,2.0493901531919194
2016-09-19 03:00:00,1,1,"[03:00:00,03:20:00)",2016-09-19,3,10,1,10.0,8.0,2.9154759474226504
2016-09-19 03:00:00,3,0,"[03:00:00,03:20:00)",2016-09-19,3,10,1,18.0,14.4,3.646916505762094
2016-09-19 03:00:00,3,1,"[03:00:00,03:20:00)",2016-09-19,3,5,1,4.0,5.0,1.8708286933869707
2016-09-19 03:20:00,1,0,"[03:20:00,03:40:00)",2016-09-19,3,4,1,9.0,7.6,3.286335345030997
2016-09-19 03:20:00,1,1,"[03:20:00,03:40:00)",2016-09-19,3,14,1,10.0,10.6,3.9115214431215897
2016-09-19 03:20:00,3,0,"[03:20:00,03:40:00)",2016-09-19,3,10,1,10.0,11.2,2.387467277262665
2016-09-19 03:20:00,3,1,"[03:20:00,03:40:00)",2016-09-19,3,3,1,5.0,4.6,3.286335345030997
2016-09-19 03:40:00,1,0,"[03:40:00,04:00:00)",2016-09-19,3,9,1,4.0,9.0,2.345207879911715
2016-09-19 03:40:00,1,1,"[03:40:00,04:00:00)",2016-09-19,3,20,1,14.0,17.2,3.96232255123179
2016-09-19 03:40:00,3,0,"[03:40:00,04:00:00)",2016-09-19,3,9,1,10.0,10.6,4.03732584763727
2016-09-19 03:40:00,3,1,"[03:40:00,04:00:00)",2016-09-19,3,10,1,3.0,5.8,3.03315017762062
2016-09-19 04:00:00,1,0,"[04:00:00,04:20:00)",2016-09-19,4,10,1,9.0,9.4,5.079370039680118
2016-09-19 04:00:00,1,1,"[04:00:00,04:20:00)",2016-09-19,4,18,1,20.0,13.8,3.7013511046643495
2016-09-19 04:00:00,3,0,"[04:00:00,04:20:00)",2016-09-19,4,11,1,9.0,15.0,3.5355339059327378
2016-09-19 04:00:00,3,1,"[04:00:00,04:20:00)",2016-09-19,4,4,1,10.0,4.4,1.51657508881031
2016-09-19 04:20:00,1,0,"[04:20:00,04:40:00)",2016-09-19,4,13,1,10.0,13.4,1.5165750888103102
2016-09-19 04:20:00,1,1,"[04:20:00,04:40:00)",2016-09-19,4,17,1,18.0,18.0,4.847679857416329
