time,tollgate_id,direction,time_window,volume,day,hour,minute,week,weekend,am_pm,volume_anterior,volume_anterior_2,volume_proximo,volume_proximo_2,avg_vol_dia_semana,desvio_padrao
2016-10-25 06:00:00,1,0,"[06:00:00,06:20:00)",10,25,6,0,1,0,1,0.0,0.0,17.0,30.0,14.285714285714286,6.447590912226719
2016-10-25 06:00:00,1,1,"[06:00:00,06:20:00)",37,25,6,0,1,0,1,0.0,0.0,54.0,63.0,36.57142857142857,2.992052966172382
2016-10-25 06:00:00,2,0,"[06:00:00,06:20:00)",29,25,6,0,1,0,1,0.0,0.0,27.0,40.0,19.714285714285715,9.655987533033338
2016-10-25 06:00:00,3,0,"[06:00:00,06:20:00)",28,25,6,0,1,0,1,0.0,0.0,48.0,92.0,24.142857142857142,4.29839394148448
2016-10-25 06:00:00,3,1,"[06:00:00,06:20:00)",30,25,6,0,1,0,1,0.0,0.0,31.0,42.0,21.428571428571427,5.1269595556932455
2016-10-25 06:20:00,1,0,"[06:20:00,06:40:00)",17,25,6,20,1,0,1,10.0,0.0,30.0,25.0,22.428571428571427,14.808298831591502
2016-10-25 06:20:00,1,1,"[06:20:00,06:40:00)",54,25,6,20,1,0,1,37.0,0.0,63.0,67.0,47.714285714285715,6.524678426668134
2016-10-25 06:20:00,2,0,"[06:20:00,06:40:00)",27,25,6,20,1,0,1,29.0,0.0,40.0,83.0,24.0,13.686976778431873
2016-10-25 06:20:00,3,0,"[06:20:00,06:40:00)",48,25,6,20,1,0,1,28.0,0.0,92.0,129.0,45.42857142857143,6.876460883747852
2016-10-25 06:20:00,3,1,"[06:20:00,06:40:00)",31,25,6,20,1,0,1,30.0,0.0,42.0,62.0,28.857142857142858,5.698788509515903
2016-10-25 06:40:00,1,0,"[06:40:00,07:00:00)",30,25,6,40,1,0,1,17.0,10.0,25.0,38.0,28.714285714285715,14.941154414505434
2016-10-25 06:40:00,1,1,"[06:40:00,07:00:00)",63,25,6,40,1,0,1,54.0,37.0,67.0,99.0,60.42857142857143,7.207800007795789
2016-10-25 06:40:00,2,0,"[06:40:00,07:00:00)",40,25,6,40,1,0,1,27.0,29.0,83.0,98.0,34.57142857142857,17.77504939380988
2016-10-25 06:40:00,3,0,"[06:40:00,07:00:00)",92,25,6,40,1,0,1,48.0,28.0,129.0,131.0,70.71428571428571,12.802529511966059
2016-10-25 06:40:00,3,1,"[06:40:00,07:00:00)",42,25,6,40,1,0,1,31.0,30.0,62.0,89.0,41.142857142857146,9.58172864411865
2016-10-25 07:00:00,1,0,"[07:00:00,07:20:00)",25,25,7,0,1,0,1,30.0,17.0,38.0,44.0,39.285714285714285,26.20886800120833
2016-10-25 07:00:00,1,1,"[07:00:00,07:20:00)",67,25,7,0,1,0,1,63.0,54.0,99.0,133.0,70.42857142857143,11.956269524913738
2016-10-25 07:00:00,2,0,"[07:00:00,07:20:00)",83,25,7,0,1,0,1,40.0,27.0,98.0,93.0,52.857142857142854,27.7634566257432
2016-10-25 07:00:00,3,0,"[07:00:00,07:20:00)",129,25,7,0,1,0,1,92.0,48.0,131.0,139.0,111.57142857142857,31.553431629840958
