time_start,volume,direction,tollgate_id,time_window
2016-09-19 00:15:00,10,0,1,"[00:15:00,00:35:00)"
2016-09-19 00:35:00,9,0,1,"[00:35:00,00:55:00)"
2016-09-19 00:55:00,8,0,1,"[00:55:00,01:15:00)"
2016-09-19 01:15:00,18,0,1,"[01:15:00,01:35:00)"
2016-09-19 01:35:00,5,0,1,"[01:35:00,01:55:00)"
2016-09-19 01:55:00,10,0,1,"[01:55:00,02:15:00)"
2016-09-19 02:15:00,8,0,1,"[02:15:00,02:35:00)"
2016-09-19 02:35:00,9,0,1,"[02:35:00,02:55:00)"
2016-09-19 02:55:00,8,0,1,"[02:55:00,03:15:00)"
2016-09-19 03:15:00,6,0,1,"[03:15:00,03:35:00)"
2016-09-19 03:35:00,7,0,1,"[03:35:00,03:55:00)"
2016-09-19 03:55:00,9,0,1,"[03:55:00,04:15:00)"
2016-09-19 04:15:00,10,0,1,"[04:15:00,04:35:00)"
2016-09-19 04:35:00,14,0,1,"[04:35:00,04:55:00)"
2016-09-19 04:55:00,6,0,1,"[04:55:00,05:15:00)"
2016-09-19 05:15:00,3,0,1,"[05:15:00,05:35:00)"
2016-09-19 05:35:00,14,0,1,"[05:35:00,05:55:00)"
2016-09-19 05:55:00,8,0,1,"[05:55:00,06:15:00)"
2016-09-19 06:15:00,14,0,1,"[06:15:00,06:35:00)"
2016-09-19 06:35:00,30,0,1,"[06:35:00,06:55:00)"
2016-09-19 06:55:00,32,0,1,"[06:55:00,07:15:00)"
2016-09-19 07:15:00,34,0,1,"[07:15:00,07:35:00)"
2016-09-19 07:35:00,38,0,1,"[07:35:00,07:55:00)"
2016-09-19 07:55:00,48,0,1,"[07:55:00,08:15:00)"
2016-09-19 08:15:00,52,0,1,"[08:15:00,08:35:00)"
2016-09-19 08:35:00,52,0,1,"[08:35:00,08:55:00)"
2016-09-19 08:55:00,43,0,1,"[08:55:00,09:15:00)"
2016-09-19 09:15:00,51,0,1,"[09:15:00,09:35:00)"
2016-09-19 09:35:00,43,0,1,"[09:35:00,09:55:00)"
2016-09-19 09:55:00,42,0,1,"[09:55:00,10:15:00)"
2016-09-19 10:15:00,43,0,1,"[10:15:00,10:35:00)"
2016-09-19 10:35:00,45,0,1,"[10:35:00,10:55:00)"
2016-09-19 10:55:00,40,0,1,"[10:55:00,11:15:00)"
2016-09-19 11:15:00,35,0,1,"[11:15:00,11:35:00)"
2016-09-19 11:35:00,32,0,1,"[11:35:00,11:55:00)"
