time_start,volume,direction,tollgate_id,time_window,weekday,weekend,hour,date,volume_anterior,volume_anterior_2,media_volume,desvio_padrao,am_pm,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-09-19 00:05:00,14,0,1,"[00:05:00,00:25:00)",1,0,0,2016-09-19,0.0,0.0,13.666666666666664,4.226897995772629,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:25:00,7,0,1,"[00:25:00,00:45:00)",1,0,0,2016-09-19,14.0,0.0,10.0,2.1908902300206643,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 00:45:00,7,0,1,"[00:45:00,01:05:00)",1,0,0,2016-09-19,7.0,14.0,7.833333333333332,2.4832774042918904,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2016-09-19 01:05:00,14,0,1,"[01:05:00,01:25:00)",1,0,1,2016-09-19,7.0,7.0,6.166666666666668,4.9564772436345015,1,,,,,,,
2016-09-19 01:25:00,11,0,1,"[01:25:00,01:45:00)",1,0,1,2016-09-19,14.0,7.0,7.5,2.345207879911715,1,,,,,,,
2016-09-19 01:45:00,9,0,1,"[01:45:00,02:05:00)",1,0,1,2016-09-19,11.0,14.0,7.5,2.0736441353327724,1,,,,,,,
2016-09-19 02:05:00,11,0,1,"[02:05:00,02:25:00)",1,0,2,2016-09-19,9.0,11.0,7.333333333333332,2.250925735484551,1,,,,,,,
2016-09-19 02:25:00,8,0,1,"[02:25:00,02:45:00)",1,0,2,2016-09-19,11.0,9.0,6.5,2.345207879911715,1,,,,,,,
2016-09-19 02:45:00,5,0,1,"[02:45:00,03:05:00)",1,0,2,2016-09-19,8.0,11.0,7.166666666666668,2.3166067138525404,1,,,,,,,
2016-09-19 03:05:00,9,0,1,"[03:05:00,03:25:00)",1,0,3,2016-09-19,5.0,8.0,6.666666666666668,2.250925735484551,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:25:00,3,0,1,"[03:25:00,03:45:00)",1,0,3,2016-09-19,9.0,5.0,7.5,4.086563348340509,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 03:45:00,10,0,1,"[03:45:00,04:05:00)",1,0,3,2016-09-19,3.0,9.0,9.5,2.588435821108957,1,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
2016-09-19 04:05:00,10,0,1,"[04:05:00,04:25:00)",1,0,4,2016-09-19,10.0,3.0,10.5,3.1464265445104544,1,,,,,,,
2016-09-19 04:25:00,14,0,1,"[04:25:00,04:45:00)",1,0,4,2016-09-19,10.0,10.0,13.666666666666664,2.065591117977289,1,,,,,,,
2016-09-19 04:45:00,10,0,1,"[04:45:00,05:05:00)",1,0,4,2016-09-19,14.0,10.0,11.0,4.381780460041329,1,,,,,,,
2016-09-19 05:05:00,1,0,1,"[05:05:00,05:25:00)",1,0,5,2016-09-19,10.0,14.0,6.0,7.127411872482184,1,,,,,,,
2016-09-19 05:25:00,11,0,1,"[05:25:00,05:45:00)",1,0,5,2016-09-19,1.0,10.0,9.666666666666666,9.373722135132162,1,,,,,,,
2016-09-19 05:45:00,11,0,1,"[05:45:00,06:05:00)",1,0,5,2016-09-19,11.0,1.0,14.166666666666664,8.773064838850027,1,,,,,,,
2016-09-19 06:05:00,10,0,1,"[06:05:00,06:25:00)",1,0,6,2016-09-19,11.0,11.0,18.166666666666668,10.048217088949993,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 06:25:00,18,0,1,"[06:25:00,06:45:00)",1,0,6,2016-09-19,10.0,11.0,27.66666666666667,22.747893675386013,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 06:45:00,32,0,1,"[06:45:00,07:05:00)",1,0,6,2016-09-19,18.0,10.0,40.333333333333336,22.59793500890439,1,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
2016-09-19 07:05:00,41,0,1,"[07:05:00,07:25:00)",1,0,7,2016-09-19,32.0,18.0,47.66666666666666,23.406551789331694,1,,,,,,,
2016-09-19 07:25:00,31,0,1,"[07:25:00,07:45:00)",1,0,7,2016-09-19,41.0,32.0,50.66666666666666,26.993826454703804,1,,,,,,,
2016-09-19 07:45:00,40,0,1,"[07:45:00,08:05:00)",1,0,7,2016-09-19,31.0,41.0,63.33333333333334,44.16635220013836,1,,,,,,,
2016-09-19 08:05:00,49,0,1,"[08:05:00,08:25:00)",1,0,8,2016-09-19,40.0,31.0,74.16666666666667,65.27914419373671,1,,,,,,,
2016-09-19 08:25:00,52,0,1,"[08:25:00,08:45:00)",1,0,8,2016-09-19,49.0,40.0,76.0,64.30552075832992,1,,,,,,,
2016-09-19 08:45:00,46,0,1,"[08:45:00,09:05:00)",1,0,8,2016-09-19,52.0,49.0,66.33333333333333,43.93935214209088,1,,,,,,,
2016-09-19 09:05:00,46,0,1,"[09:05:00,09:25:00)",1,0,9,2016-09-19,46.0,52.0,57.16666666666666,20.97061436073504,1,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
2016-09-19 09:25:00,54,0,1,"[09:25:00,09:45:00)",1,0,9,2016-09-19,46.0,46.0,75.16666666666667,62.297404975381326,1,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
2016-09-19 09:45:00,38,0,1,"[09:45:00,10:05:00)",1,0,9,2016-09-19,54.0,46.0,74.66666666666667,59.82195806446548,1,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
2016-09-19 10:05:00,51,0,1,"[10:05:00,10:25:00)",1,0,10,2016-09-19,38.0,54.0,59.66666666666666,42.75355735686408,1,,,,,,,
2016-09-19 10:25:00,45,0,1,"[10:25:00,10:45:00)",1,0,10,2016-09-19,51.0,38.0,61.16666666666666,41.03372596616918,1,,,,,,,
2016-09-19 10:45:00,37,0,1,"[10:45:00,11:05:00)",1,0,10,2016-09-19,45.0,51.0,48.0,30.079893616833157,1,,,,,,,
2016-09-19 11:05:00,37,0,1,"[11:05:00,11:25:00)",1,0,11,2016-09-19,37.0,45.0,51.5,38.07229964160295,1,,,,,,,
2016-09-19 11:25:00,32,0,1,"[11:25:00,11:45:00)",1,0,11,2016-09-19,37.0,37.0,56.5,54.97544906592397,1,,,,,,,
2016-09-19 11:45:00,33,0,1,"[11:45:00,12:05:00)",1,0,11,2016-09-19,32.0,37.0,51.33333333333334,35.75844888507703,1,,,,,,,
2016-09-19 12:05:00,46,0,1,"[12:05:00,12:25:00)",1,0,12,2016-09-19,33.0,32.0,56.16666666666666,37.42948926537292,1,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
2016-09-19 12:25:00,47,0,1,"[12:25:00,12:45:00)",1,0,12,2016-09-19,46.0,33.0,59.16666666666666,49.91759876703473,1,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
2016-09-19 12:45:00,53,0,1,"[12:45:00,13:05:00)",1,0,12,2016-09-19,47.0,46.0,62.33333333333334,46.11145916869978,1,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
2016-09-19 13:05:00,59,0,1,"[13:05:00,13:25:00)",1,0,13,2016-09-19,53.0,47.0,69.66666666666667,50.587218412032364,0,,,,,,,
2016-09-19 13:25:00,63,0,1,"[13:25:00,13:45:00)",1,0,13,2016-09-19,59.0,53.0,72.16666666666667,54.832168174044206,0,,,,,,,
